"","status_id"
"110","1195034436045344769"
"111","1195029260324540419"
"112","1195008007463219201"
"113","1195066149685354498"
"114","1195035183826780160"
"115","1194986863477567488"
"116","1195004228361736193"
"117","1195051781186867200"
"118","1194998950266392578"
"119","1195026118455255040"
"120","1195016288864653313"
"121","1194988354728841216"
"122","1194986089980805123"
"123","1195053310316859392"
"124","1195038938362261512"
"125","1195004979720966149"
"126","1195005732082585601"
"127","1194982327610462209"
"128","1195017814635089921"
"129","1195018553616785409"
"130","1195007254367539200"
"131","1195015546603016197"
"132","1195019340183195649"
"133","1195044242495856645"
"134","1195055567540293634"
"135","1195025365246365696"
"136","1195006483869642752"
"137","1194989137650163712"
"138","1195060111775014914"
"139","1194975548696616960"
"140","1195014794119696388"
"141","1195066894463782913"
"142","1195066889191481344"
"143","1195033137765597184"
"144","1195066888038076418"
"145","1195021308511293440"
"146","1195021899815936006"
"147","1195051263773356038"
"148","1195018032097251328"
"149","1195059675588448257"
"150","1195066881776013312"
"151","1195022421931245569"
"152","1195007113820590082"
"153","1195023133570416641"
"154","1195065653755023360"
"155","1195060780556795905"
"156","1195048185879764992"
"157","1194999670008897536"
"158","1195066876897968128"
"159","1195000364958961664"
"160","1195066863773982720"
"161","1195066843498766337"
"162","1195066809646485505"
"163","1195066804097421312"
"164","1195066801270296577"
"165","1195066778386403328"
"166","1195049265812459520"
"167","1195047884359700482"
"168","1195029997859360769"
"169","1195052484785590273"
"170","1195056989044387843"
"171","1195026290480427008"
"172","1195051709669793792"
"173","1195034388939100160"
"174","1195057187393024003"
"175","1195066763802808320"
"176","1195048593431941128"
"177","1195066733956128769"
"178","1195016157377396739"
"179","1195008734709202944"
"180","1195004910334431232"
"181","1195066726825652225"
"182","1195066720844701696"
"183","1195066718688821255"
"184","1195065822668087302"
"185","1195066711474671616"
"186","1195061388160450565"
"187","1195066695657967617"
"188","1195058223759400960"
"189","1195062710028980226"
"190","1195066692306649088"
"191","1195066689332760576"
"192","1194977223176081414"
"193","1195066352282873856"
"194","1194979470152806400"
"195","1195066672622841858"
"196","1195065146617597954"
"197","1194998924127408129"
"198","1194974001732431877"
"199","1195065306324058112"
"200","1195066668558495750"
"201","1195066554179837952"
"202","1194978731183550465"
"203","1195058063272742912"
"204","1194989028451508224"
"205","1194984147359588353"
"206","1194984522300964864"
"207","1194978152939962369"
"208","1195054590699429888"
"209","1195064309371592706"
"210","1194983692600561669"
"211","1195049555630477317"
"212","1194983264458596352"
"213","1195057913422909440"
"214","1194998210235961344"
"215","1195054296129245184"
"216","1194997915112165376"
"217","1195055331015102464"
"218","1194996416655056897"
"219","1194986490339774464"
"220","1195051545294979072"
"221","1194986941827170304"
"222","1195052339352223744"
"223","1194975186740817921"
"224","1195058230331953153"
"225","1195040088465563650"
"226","1194980416748425218"
"227","1194985415662604289"
"228","1195052546269876225"
"229","1195000168577478658"
"230","1194975691110014978"
"231","1195050929323683840"
"232","1195053934114746370"
"233","1195064874600148992"
"234","1195052711915462657"
"235","1194982984434274311"
"236","1194987264725671939"
"237","1195066641589121024"
"238","1194988588347383810"
"239","1195062515899805698"
"240","1195065906835185666"
"241","1195041154611515392"
"242","1195048869463252993"
"243","1195040412425183233"
"244","1194981176399798276"
"245","1195053701070802944"
"246","1195057581078614016"
"247","1195066633833762817"
"248","1195066628800753666"
"249","1195028169746722816"
"250","1195066623335555072"
"251","1195015809120264193"
"252","1195023411698970624"
"253","1195066616461103108"
"254","1195066604247289856"
"255","1194986898697179137"
"256","1195066559737290752"
"257","1195033704806129667"
"258","1195037563301576709"
"259","1195034584255270915"
"260","1195066556981612544"
"261","1195065050110857218"
"262","1195066539239624704"
"263","1195066532059140097"
"264","1195066524089933828"
"265","1195012483301425154"
"266","1194979588490833920"
"267","1195066520319254529"
"268","1194975594515247106"
"269","1195066515428646913"
"270","1194987031585275905"
"271","1195065384396886016"
"272","1195066465797496844"
"273","1195066464648212480"
"274","1195031649895043073"
"275","1195053484682469377"
"276","1195066461917724677"
"277","1194989144545599489"
"278","1195023819725004801"
"279","1194989628643786752"
"280","1195066459413721088"
"281","1194984061888061440"
"282","1194990912633528321"
"283","1194990378086219783"
"284","1195015615393751041"
"285","1194977392441380865"
"286","1195066440371654657"
"287","1195018506867290112"
"288","1195012206011830272"
"289","1195066414983368705"
"290","1195066382662209539"
"291","1195066370880225280"
"292","1195066357987057667"
"293","1195004021368508416"
"294","1194989343112187906"
"295","1194988361414348801"
"296","1195066356640518144"
"297","1195066332477194240"
"298","1195064594160472064"
"299","1195065670053969920"
"300","1195064278392299520"
"301","1195059650216878080"
"302","1195061917640843265"
"303","1195064866454695936"
"304","1195065121606758400"
"305","1195066322159206400"
"306","1195065922978897920"
"307","1195066307550597120"
"308","1195066302508883969"
"309","1195066269655076864"
"310","1195061430162251776"
"311","1195024572724236288"
"312","1195020589708304384"
"313","1195062764190019584"
"314","1195003100224000002"
"315","1195037230525534208"
"316","1195063623342800897"
"317","1195066265066496000"
"318","1195066261455167489"
"319","1195066254324666368"
"320","1195027283154624512"
"321","1195051105551405056"
"322","1195066232204144645"
"323","1194997385799225345"
"324","1195066220954783745"
"325","1195066201409572865"
"326","1194984247322390529"
"327","1195066192978939905"
"328","1195066173559365632"
"329","1195038141771595779"
"330","1195066172661780480"
"331","1195066171277660161"
"332","1194992785545261056"
"333","1194996721010409472"
"334","1195066163614470144"
"335","1195066162653958145"
"336","1195059417441558528"
"337","1195050958172119043"
"338","1195031964383887360"
"339","1195066157486788610"
"340","1195059120447148034"
"341","1195061109528694785"
"342","1195025499258523649"
"343","1195066157042155521"
"344","1195000743595560965"
"345","1195066132698456064"
"346","1195044688446644224"
"347","1195045323875344384"
"348","1195047512035356672"
"349","1195066121071648769"
"350","1195066115300495360"
"351","1195066092231593984"
"352","1195061143074721792"
"353","1195066092156313602"
"354","1195066084619145216"
"355","1195066026162941952"
"356","1195065111196643335"
"357","1195066025349394433"
"358","1195066016084217858"
"359","1195036592617877504"
"360","1195037836493217793"
"361","1195066005703118848"
"362","1195044950552891392"
"363","1195064931768340480"
"364","1195059150947926016"
"365","1195066005065650176"
"366","1195066004151226370"
"367","1195066002385653761"
"368","1195041508413640704"
"369","1195039144877207553"
"370","1195066000280104961"
"371","1195064686687014913"
"372","1195065996891037696"
"373","1195028741740748800"
"374","1195065915559284736"
"375","1195065914271469568"
"376","1195065449261752322"
"377","1195027951789727744"
"378","1195065893635723267"
"379","1195013012438102019"
"380","1195049780432400385"
"381","1195006371978047491"
"382","1195065875717447680"
"383","1195027714433880064"
"384","1195063493575135232"
"385","1195026291986030592"
"386","1195056611607212032"
"387","1195025279233560576"
"388","1195063565184430080"
"389","1195029738428911616"
"390","1195006170991230976"
"391","1195053821661200384"
"392","1195065873909899264"
"393","1195041374892109824"
"394","1195050527148642306"
"395","1195033712653750273"
"396","1195059850985783296"
"397","1195065853936635904"
"398","1195038626842841091"
"399","1195044305443971073"
"400","1195047901136859136"
"401","1195053212476280832"
"402","1195065836781871104"
"403","1195065836148576256"
"404","1195019632362610690"
"405","1195019306423246848"
"406","1195058656188018689"
"407","1195050588209324034"
"408","1195050741574127616"
"409","1195053819761176577"
"410","1195020499492978688"
"411","1195065833309048834"
"412","1194978302525616128"
"413","1195065827717976064"
"414","1195065816007499776"
"415","1195065760017575936"
"416","1195065744750460928"
"417","1195065739180331008"
"418","1195045182556835840"
"419","1195064795378147334"
"420","1195036203860541440"
"421","1195065734667362304"
"422","1194974347699642370"
"423","1195065716329893888"
"424","1195065707135995907"
"425","1194976502506328069"
"426","1195065706812866560"
"427","1195065697753325571"
"428","1195008411110268928"
"429","1195065686487269376"
"430","1195065670247038978"
"431","1195065660587462656"
"432","1194974397674733573"
"433","1195065660121989120"
"434","1195065657563332608"
"435","1194979353232199680"
"436","1195021194098929664"
"437","1195046584909590528"
"438","1195065655843667968"
"439","1195061683208634368"
"440","1195058217933389824"
"441","1195021619690737664"
"442","1195040603987304448"
"443","1194975195854819334"
"444","1195049581324558337"
"445","1195018370594136064"
"446","1195063071917559808"
"447","1195047075290873856"
"448","1195051416710086657"
"449","1195065645483868160"
"450","1195065637883670530"
"451","1195065614500421637"
"452","1195065613846228993"
"453","1194992902147100673"
"454","1195004641320280066"
"455","1195002942488756225"
"456","1195010784675401728"
"457","1195008711602974721"
"458","1195010670825218048"
"459","1195006602966978560"
"460","1195002174369128448"
"461","1195002645859188738"
"462","1195065586449076230"
"463","1194984306285957120"
"464","1195065581579444224"
"465","1195011196073709568"
"466","1195065578580533250"
"467","1195065576017805313"
"468","1195065570275864578"
"469","1195065557034455042"
"470","1195065556535324672"
"471","1195065556245897216"
"472","1195065534196240385"
"473","1194977987092832256"
"474","1195054215258759168"
"475","1195065518480166913"
"476","1195065495680012289"
"477","1195010535789645824"
"478","1195065490185560069"
"479","1194978714502742017"
"480","1194983068928487424"
"481","1195053480274255877"
"482","1195061465587310593"
"483","1195000644966506498"
"484","1195009882648391681"
"485","1195053474616168448"
"486","1195024448321212416"
"487","1194987122861760517"
"488","1194983066890047488"
"489","1195017876245229571"
"490","1195013974011645954"
"491","1195053472523194368"
"492","1195035012594372608"
"493","1194987118008946688"
"494","1195044075650605058"
"495","1195040234548977664"
"496","1195009884774895617"
"497","1195014578947665920"
"498","1194987120710033408"
"499","1195050067444617222"
"500","1195010042371682310"
"501","1194987113583910914"
"502","1195053483004702720"
"503","1195015285146869762"
"504","1195015283133562883"
"505","1195065485789925377"
"506","1195065487782227968"
"507","1195010045039271937"
"508","1194987109234466817"
"509","1194987115702034439"
"510","1194987111264477184"
"511","1194983156098711553"
"512","1195044077542268928"
"513","1195019224487464962"
"514","1194981458735222787"
"515","1195045627815743489"
"516","1195065487509671937"
"517","1195065478059843585"
"518","1195065466097668097"
"519","1195065460422782976"
"520","1195065455578406912"
"521","1195065448498442242"
"522","1195065446384328704"
"523","1195065436951470083"
"524","1195065427430379520"
"525","1195065399328616450"
"526","1194983230367252481"
"527","1195033779636752384"
"528","1195062936001077248"
"529","1195065391598321664"
